Concern-overloadorg.apache.oodt.cas.pushpull.filerestrictions.parsers -> [Pushpull-topic-6, Pushpull-topic-0];org.apache.oodt.cas.pushpull.filerestrictions.parsers -> [Pushpull-topic-6, Pushpull-topic-0];[Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Intensive Coupling -> ClassNoaaEmailParser.parse]
Concern-overloadorg.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-3, Pushpull-topic-7, Pushpull-topic-5];org.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-3, Pushpull-topic-7, Pushpull-topic-5];[Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Feature Envy -> RetrievalSetup.createPropFilesConfig, Intensive Coupling -> FileRetrievalSystem.addSessionToThreadPool]
Concern-overloadorg.apache.oodt.cas.pushpull.protocol -> [Pushpull-topic-2, Pushpull-topic-0, Pushpull-topic-5];org.apache.oodt.cas.pushpull.protocol -> [Pushpull-topic-2, Pushpull-topic-0, Pushpull-topic-5];[Dispersed Coupling -> ProtocolHandler.delete, Shotgun Surgery -> RemoteSite.getURL, Shotgun Surgery -> Protocol.getRemoteSite, Shotgun Surgery -> ProtocolPath.getPathString, Shotgun Surgery -> ProtocolFile.getProtocolPath]
Concern-overloadorg.apache.oodt.cas.pushpull.config -> [Pushpull-topic-2, Pushpull-topic-3, Pushpull-topic-1, Pushpull-topic-5];org.apache.oodt.cas.pushpull.config -> [Pushpull-topic-2, Pushpull-topic-3, Pushpull-topic-1, Pushpull-topic-5];[Dispersed Coupling -> ParserInfo.loadParserInfo, Dispersed Coupling -> ProtocolInfo.loadProtocolFactoryInfoFromFile, Dispersed Coupling -> RemoteSpecs.parseAndStoreLoginInfo, Dispersed Coupling -> SiteInfo.getPossibleRemoteSites, Feature Envy -> Config.loadMetadataListToOutput]
HierarchicalData ClassProtocol;Data Class -> Protocol;[Data Class -> Protocol, Data Class -> HttpClient]
HierarchicalFeature EnvyProtocol;Feature Envy -> Protocol;[Feature Envy -> HttpClient.createLinkFromHref, Feature Envy -> CommonsNetFtpClient.connect, Feature Envy -> ImapsClient.getContentFromPlainText, Feature Envy -> CogJGlobusFtpClient.connect, Feature Envy -> ImapsClient.openFolder, Feature Envy -> CommonsNetFtpClient.getFile, Feature Envy -> ImapsClient.chDir, Feature Envy -> ImapsClient.getMessageName]
HierarchicalGod ClassProtocol;God Class -> Protocol;[God Class -> ImapsClient, God Class -> HttpClient, God Class -> Protocol]
HierarchicalDispersed CouplingProtocol;Dispersed Coupling -> Protocol;[Dispersed Coupling -> HttpClient.getProtocolFileFor, Dispersed Coupling -> HttpClient.getFile, Dispersed Coupling -> HttpClient.parseLink, Dispersed Coupling -> ImapsClient.getContentFromHTML]
HierarchicalRefused Parent BequestProtocol;Refused Parent Bequest -> Protocol;[Refused Parent Bequest -> JschSftpClient, Refused Parent Bequest -> CogJGlobusFtpClient, Refused Parent Bequest -> LocalClient, Refused Parent Bequest -> HttpClient, Refused Parent Bequest -> ImapsClient, Refused Parent Bequest -> CommonsNetFtpClient]
HierarchicalIntensive CouplingProtocol;Intensive Coupling -> Protocol;[Intensive Coupling -> ImapsClient.getMessageName, Intensive Coupling -> HttpClient.createLinkFromHref, Intensive Coupling -> HttpClient.findLinkInATag]
Intra-classRenamingConvention;RenamingConvention;[Dispersed Coupling -> RenamingConvention.grepRemoveReplace, Feature Envy -> RenamingConvention.getGrandParentPath, Feature Envy -> RenamingConvention.getParentPath, Intensive Coupling -> RenamingConvention.grepReplace]
Intra-classDaemon;Daemon;[Dispersed Coupling -> Daemon.startDaemon, Feature Envy -> Daemon.calculateTimeTilNextRun, God Class -> Daemon]
Intra-classRetrievalSetup;RetrievalSetup;[Dispersed Coupling -> RetrievalSetup.retrieveFiles, Dispersed Coupling -> RetrievalSetup.startPropFileDownload, Feature Envy -> RetrievalSetup.createPropFilesConfig]
Intra-classHttpClient;HttpClient;[Data Class -> HttpClient, Dispersed Coupling -> HttpClient.getProtocolFileFor, Dispersed Coupling -> HttpClient.getFile, Dispersed Coupling -> HttpClient.parseLink, Feature Envy -> HttpClient.createLinkFromHref, God Class -> HttpClient, Intensive Coupling -> HttpClient.createLinkFromHref, Intensive Coupling -> HttpClient.findLinkInATag, Refused Parent Bequest -> HttpClient]
Intra-classMethod;Method;[Brain Class -> Method, Brain Method -> Method.execute, Brain Method -> Method.convert, Data Class -> Method, Dispersed Coupling -> Method.convert, Dispersed Coupling -> Method.execute]
Intra-classProtocolFile;ProtocolFile;[Shotgun Surgery -> ProtocolFile.getName, Shotgun Surgery -> ProtocolFile.getProtocolPath]
Intra-classImapsClient;ImapsClient;[Dispersed Coupling -> ImapsClient.getContentFromHTML, Feature Envy -> ImapsClient.getContentFromPlainText, Feature Envy -> ImapsClient.openFolder, Feature Envy -> ImapsClient.chDir, Feature Envy -> ImapsClient.getMessageName, God Class -> ImapsClient, Intensive Coupling -> ImapsClient.getMessageName, Refused Parent Bequest -> ImapsClient]
Intra-classProtocol;Protocol;[Data Class -> Protocol, God Class -> Protocol, Shotgun Surgery -> Protocol.getRemoteSite]
Intra-classFileRetrievalSystem;FileRetrievalSystem;[Brain Class -> FileRetrievalSystem, Brain Method -> FileRetrievalSystem.addToDownloadQueue, Data Class -> FileRetrievalSystem, Dispersed Coupling -> FileRetrievalSystem.addToDownloadQueue, Dispersed Coupling -> FileRetrievalSystem.initializeStagingArea, Dispersed Coupling -> FileRetrievalSystem.modifyAvailableSessionForPath, Feature Envy -> FileRetrievalSystem.getSaveToLoc, Feature Envy -> FileRetrievalSystem.isAlreadyInDatabase, Feature Envy -> FileRetrievalSystem.initializeStagingArea, God Class -> FileRetrievalSystem, Intensive Coupling -> FileRetrievalSystem.addSessionToThreadPool]
Intra-classCogJGlobusFtpClient;CogJGlobusFtpClient;[Feature Envy -> CogJGlobusFtpClient.connect, Refused Parent Bequest -> CogJGlobusFtpClient]
Intra-classRemoteSpecs;RemoteSpecs;[Brain Method -> RemoteSpecs.loadRemoteSpecs, Dispersed Coupling -> RemoteSpecs.parseAndStoreLoginInfo, Dispersed Coupling -> RemoteSpecs.loadRemoteSpecs]
