Concern-overloadorg.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-5, Pushpull-topic-7, Pushpull-topic-3];org.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-5, Pushpull-topic-7, Pushpull-topic-3];[Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Feature Envy -> RetrievalSetup.createPropFilesConfig, Intensive Coupling -> FileRetrievalSystem.addSessionToThreadPool]
Concern-overloadorg.apache.oodt.cas.pushpull.config -> [Pushpull-topic-5, Pushpull-topic-1, Pushpull-topic-2, Pushpull-topic-3];org.apache.oodt.cas.pushpull.config -> [Pushpull-topic-5, Pushpull-topic-1, Pushpull-topic-2, Pushpull-topic-3];[Dispersed Coupling -> SiteInfo.getPossibleRemoteSites, Dispersed Coupling -> ProtocolInfo.loadProtocolFactoryInfoFromFile, Dispersed Coupling -> RemoteSpecs.parseAndStoreLoginInfo, Dispersed Coupling -> ParserInfo.loadParserInfo, Feature Envy -> Config.loadMetadataListToOutput]
Concern-overloadorg.apache.oodt.cas.pushpull.protocol -> [Pushpull-topic-5, Pushpull-topic-0, Pushpull-topic-2];org.apache.oodt.cas.pushpull.protocol -> [Pushpull-topic-5, Pushpull-topic-0, Pushpull-topic-2];[Dispersed Coupling -> ProtocolHandler.delete, Shotgun Surgery -> ProtocolFile.getProtocolPath, Shotgun Surgery -> Protocol.getRemoteSite, Shotgun Surgery -> ProtocolPath.getPathString, Shotgun Surgery -> RemoteSite.getURL]
Concern-overloadorg.apache.oodt.cas.pushpull.filerestrictions.parsers -> [Pushpull-topic-0, Pushpull-topic-6];org.apache.oodt.cas.pushpull.filerestrictions.parsers -> [Pushpull-topic-0, Pushpull-topic-6];[Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Intensive Coupling -> ClassNoaaEmailParser.parse]
HierarchicalGod ClassProtocol;God Class -> Protocol;[God Class -> ImapsClient, God Class -> Protocol, God Class -> HttpClient]
HierarchicalIntensive CouplingProtocol;Intensive Coupling -> Protocol;[Intensive Coupling -> HttpClient.findLinkInATag, Intensive Coupling -> ImapsClient.getMessageName, Intensive Coupling -> HttpClient.createLinkFromHref]
HierarchicalData ClassProtocol;Data Class -> Protocol;[Data Class -> Protocol, Data Class -> HttpClient]
HierarchicalRefused Parent BequestProtocol;Refused Parent Bequest -> Protocol;[Refused Parent Bequest -> HttpClient, Refused Parent Bequest -> CommonsNetFtpClient, Refused Parent Bequest -> LocalClient, Refused Parent Bequest -> ImapsClient, Refused Parent Bequest -> JschSftpClient, Refused Parent Bequest -> CogJGlobusFtpClient]
HierarchicalDispersed CouplingProtocol;Dispersed Coupling -> Protocol;[Dispersed Coupling -> HttpClient.getFile, Dispersed Coupling -> HttpClient.getProtocolFileFor, Dispersed Coupling -> HttpClient.parseLink, Dispersed Coupling -> ImapsClient.getContentFromHTML]
HierarchicalFeature EnvyProtocol;Feature Envy -> Protocol;[Feature Envy -> CommonsNetFtpClient.connect, Feature Envy -> CommonsNetFtpClient.getFile, Feature Envy -> ImapsClient.getMessageName, Feature Envy -> ImapsClient.chDir, Feature Envy -> HttpClient.createLinkFromHref, Feature Envy -> CogJGlobusFtpClient.connect, Feature Envy -> ImapsClient.getContentFromPlainText, Feature Envy -> ImapsClient.openFolder]
Intra-classMethod;Method;[Brain Class -> Method, Brain Method -> Method.execute, Brain Method -> Method.convert, Data Class -> Method, Dispersed Coupling -> Method.convert, Dispersed Coupling -> Method.execute]
