Concern-overloadorg.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-7, Pushpull-topic-3, Pushpull-topic-5];org.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-7, Pushpull-topic-3, Pushpull-topic-5];[Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Feature Envy -> RetrievalSetup.createPropFilesConfig, Intensive Coupling -> FileRetrievalSystem.addSessionToThreadPool]
Intra-classRenamingConvention;RenamingConvention;[Dispersed Coupling -> RenamingConvention.grepRemoveReplace, Feature Envy -> RenamingConvention.getParentPath, Feature Envy -> RenamingConvention.getGrandParentPath, Intensive Coupling -> RenamingConvention.grepReplace]
Intra-classRetrievalSetup;RetrievalSetup;[Dispersed Coupling -> RetrievalSetup.startPropFileDownload, Dispersed Coupling -> RetrievalSetup.retrieveFiles, Feature Envy -> RetrievalSetup.createPropFilesConfig]
Intra-classConfig;Config;[Dispersed Coupling -> Config.loadIngester, Feature Envy -> Config.loadConfigFile, Feature Envy -> Config.loadMetadataListToOutput, God Class -> Config]
Intra-classImapsClient;ImapsClient;[Dispersed Coupling -> ImapsClient.getContentFromHTML, Feature Envy -> ImapsClient.openFolder, Feature Envy -> ImapsClient.getContentFromPlainText, Feature Envy -> ImapsClient.chDir, Feature Envy -> ImapsClient.getMessageName, God Class -> ImapsClient, Intensive Coupling -> ImapsClient.getMessageName, Refused Parent Bequest -> ImapsClient]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.filerestrictions.parsers;Dispersed Coupling -> org.apache.oodt.cas.pushpull.filerestrictions.parsers;[Dispersed Coupling -> DirStructXmlParser.parseVariablesXML, Dispersed Coupling -> DirStructXmlParser.replaceVariablesAndMethods, Dispersed Coupling -> DirStructXmlParser.parse, Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Dispersed Coupling -> DirStructXmlParser.parseDirstructXML]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.protocol.ftp;Feature Envy -> org.apache.oodt.cas.pushpull.protocol.ftp;[Feature Envy -> CommonsNetFtpClient.getFile, Feature Envy -> CommonsNetFtpClient.connect, Feature Envy -> CogJGlobusFtpClient.connect]
Intra-componentBrain Methodorg.apache.oodt.cas.pushpull.expressions;Brain Method -> org.apache.oodt.cas.pushpull.expressions;[Brain Method -> Method.convert, Brain Method -> Method.execute]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.protocol.http;Dispersed Coupling -> org.apache.oodt.cas.pushpull.protocol.http;[Dispersed Coupling -> HttpClient.parseLink, Dispersed Coupling -> HttpClient.getProtocolFileFor, Dispersed Coupling -> HttpClient.getFile]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.retrievalsystem;Feature Envy -> org.apache.oodt.cas.pushpull.retrievalsystem;[Feature Envy -> FileRetrievalSystem.getSaveToLoc, Feature Envy -> FileRetrievalSystem.initializeStagingArea, Feature Envy -> RetrievalSetup.createPropFilesConfig, Feature Envy -> FileRetrievalSystem.isAlreadyInDatabase]
Intra-componentGod Classorg.apache.oodt.cas.pushpull.protocol;God Class -> org.apache.oodt.cas.pushpull.protocol;[God Class -> ProtocolHandler, God Class -> Protocol]
