Concern-overloadorg.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-7, Pushpull-topic-5, Pushpull-topic-3];org.apache.oodt.cas.pushpull.retrievalsystem -> [Pushpull-topic-7, Pushpull-topic-5, Pushpull-topic-3];[Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Feature Envy -> RetrievalSetup.createPropFilesConfig, Intensive Coupling -> FileRetrievalSystem.addSessionToThreadPool]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.retrievalsystem;Dispersed Coupling -> org.apache.oodt.cas.pushpull.retrievalsystem;[Dispersed Coupling -> RetrievalSetup.startPropFileDownload, Dispersed Coupling -> FileRetrievalSystem.initializeStagingArea, Dispersed Coupling -> FileRetrievalSystem.addToDownloadQueue, Dispersed Coupling -> DownloadThreadEvaluator.fileDownloadComplete, Dispersed Coupling -> FileRetrievalSystem.modifyAvailableSessionForPath, Dispersed Coupling -> RetrievalSetup.retrieveFiles]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.expressions;Dispersed Coupling -> org.apache.oodt.cas.pushpull.expressions;[Dispersed Coupling -> Method.execute, Dispersed Coupling -> Method.convert]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.config;Feature Envy -> org.apache.oodt.cas.pushpull.config;[Feature Envy -> Config.loadMetadataListToOutput, Feature Envy -> Config.loadConfigFile]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.filerestrictions.parsers;Dispersed Coupling -> org.apache.oodt.cas.pushpull.filerestrictions.parsers;[Dispersed Coupling -> DirStructXmlParser.parseVariablesXML, Dispersed Coupling -> DirStructXmlParser.replaceVariablesAndMethods, Dispersed Coupling -> DirStructXmlParser.parse, Dispersed Coupling -> DirStructXmlParser.parseMethodsXML, Dispersed Coupling -> DirStructXmlParser.parseDirstructXML]
Intra-componentIntensive Couplingorg.apache.oodt.cas.pushpull.protocol.http;Intensive Coupling -> org.apache.oodt.cas.pushpull.protocol.http;[Intensive Coupling -> HttpClient.createLinkFromHref, Intensive Coupling -> HttpClient.findLinkInATag]
Intra-componentDispersed Couplingorg.apache.oodt.cas.pushpull.protocol.http;Dispersed Coupling -> org.apache.oodt.cas.pushpull.protocol.http;[Dispersed Coupling -> HttpClient.getFile, Dispersed Coupling -> HttpClient.getProtocolFileFor, Dispersed Coupling -> HttpClient.parseLink]
Intra-componentRefused Parent Bequestorg.apache.oodt.cas.pushpull.protocol.ftp;Refused Parent Bequest -> org.apache.oodt.cas.pushpull.protocol.ftp;[Refused Parent Bequest -> CommonsNetFtpClient, Refused Parent Bequest -> CogJGlobusFtpClient]
Intra-componentBrain Methodorg.apache.oodt.cas.pushpull.expressions;Brain Method -> org.apache.oodt.cas.pushpull.expressions;[Brain Method -> Method.execute, Brain Method -> Method.convert]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.protocol.imaps;Feature Envy -> org.apache.oodt.cas.pushpull.protocol.imaps;[Feature Envy -> ImapsClient.getMessageName, Feature Envy -> ImapsClient.getContentFromPlainText, Feature Envy -> ImapsClient.chDir, Feature Envy -> ImapsClient.openFolder]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.retrievalsystem;Feature Envy -> org.apache.oodt.cas.pushpull.retrievalsystem;[Feature Envy -> FileRetrievalSystem.initializeStagingArea, Feature Envy -> FileRetrievalSystem.getSaveToLoc, Feature Envy -> FileRetrievalSystem.isAlreadyInDatabase, Feature Envy -> RetrievalSetup.createPropFilesConfig]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.filerestrictions.renamingconventions;Feature Envy -> org.apache.oodt.cas.pushpull.filerestrictions.renamingconventions;[Feature Envy -> RenamingConvention.getParentPath, Feature Envy -> RenamingConvention.getGrandParentPath]
Intra-componentFeature Envyorg.apache.oodt.cas.pushpull.daemon;Feature Envy -> org.apache.oodt.cas.pushpull.daemon;[Feature Envy -> DaemonManager.setAsRunning, Feature Envy -> Daemon.calculateTimeTilNextRun, Feature Envy -> DaemonLauncher.configure]
Intra-componentData Classorg.apache.oodt.cas.pushpull.protocol;Data Class -> org.apache.oodt.cas.pushpull.protocol;[Data Class -> ProtocolHandler, Data Class -> Protocol]
Intra-componentShotgun Surgeryorg.apache.oodt.cas.pushpull.protocol;Shotgun Surgery -> org.apache.oodt.cas.pushpull.protocol;[Shotgun Surgery -> ProtocolPath.getPathString, Shotgun Surgery -> RemoteSite.getURL, Shotgun Surgery -> ProtocolFile.getProtocolPath, Shotgun Surgery -> Protocol.getRemoteSite, Shotgun Surgery -> ProtocolFile.getName]
Intra-methodRemoteSpecs.loadRemoteSpecs;RemoteSpecs.loadRemoteSpecs;[Brain Method -> RemoteSpecs.loadRemoteSpecs, Dispersed Coupling -> RemoteSpecs.loadRemoteSpecs]
Intra-methodFileRetrievalSystem.initializeStagingArea;FileRetrievalSystem.initializeStagingArea;[Dispersed Coupling -> FileRetrievalSystem.initializeStagingArea, Feature Envy -> FileRetrievalSystem.initializeStagingArea]
Intra-methodHttpClient.createLinkFromHref;HttpClient.createLinkFromHref;[Feature Envy -> HttpClient.createLinkFromHref, Intensive Coupling -> HttpClient.createLinkFromHref]
Intra-methodMethod.convert;Method.convert;[Brain Method -> Method.convert, Dispersed Coupling -> Method.convert]
Intra-methodMethod.execute;Method.execute;[Brain Method -> Method.execute, Dispersed Coupling -> Method.execute]
Intra-methodImapsClient.getMessageName;ImapsClient.getMessageName;[Feature Envy -> ImapsClient.getMessageName, Intensive Coupling -> ImapsClient.getMessageName]
Intra-methodFileRetrievalSystem.addToDownloadQueue;FileRetrievalSystem.addToDownloadQueue;[Brain Method -> FileRetrievalSystem.addToDownloadQueue, Dispersed Coupling -> FileRetrievalSystem.addToDownloadQueue]
